Data,Descricao,Valor,Categoria
24/01/2025,ANUIDADE VISA C      (7824) 04/12,-64.17,Taxas
24/01/2025,DESC ANUIDADE POR USO VIS,32.09,Taxas
13/03/2025,KIWIFY      *TechLea  03/12   Pelotas,-60.14,Educação
04/04/2025,GOL*GOL LINHAS*KPRQE  02/02   SAO PAULO,-478.27,Viagem
25/04/2025,IFD*Burguer Caminito          Sul (,-356.27,Saídas Restaurante e Bares
26/04/2025,DROGARIA ROSARIO              BRASILIA,-16.84,Farmacia
26/04/2025,CANTUCCI                      BRASILIA,-264.32,Alimentação
27/04/2025,SOVAR & ASSAR CAFETE          BRASILIA,-60.48,Saidas Restaurante e Bares
27/04/2025,DONA DE CASA                  BRASILIA,-215.25,Mercado
27/04/2025,BARUC RESTAURANTE LT          BRASILIA,-245.76,Saídas Restaurante e Bares
27/04/2025,DONA DE CASA                  BRASILIA,-2.99,Mercado
28/04/2025,VICO-FARMA FARMACIA           BRASILIA,-55.0,Farmacia
29/04/2025,IFD*Burguer Caminito          Sul (,-456.4,Saidas Restaurante e Bares
30/04/2025,CPQ BRASIL                    BRASILIA,-12.0,Lazer
30/04/2025,CAFETERIA LIDER               JOINVILLE,-18.0,Saidas Restaurante e Bares
30/04/2025,CPQ BRASIL                    BRASILIA,-48.0,Lazer
30/04/2025,RestauranteE                  JARAGUA DO SU,-130.75,Saídas Restaurante e Bares
01/05/2025,BIG STORE SOUVENIRS           POMERODE,-6.0,Lazer
01/05/2025,Amazon Prime CanaisV          SAO PAULO,-59.9,Assinaturas
01/05/2025,BIG STORE SOUVENIRS           POMERODE,-60.0,Lazer
01/05/2025,ALLES PARK                    POMERODE,-280.0,Lazer
01/05/2025,BIG STORE SOUVENIRS           BALNEARIO CAM,-35.0,Compras
01/05/2025,POMERODE SERVICO DE           POMERODE,-58.1,Lazer
01/05/2025,Administradora                POMERODE,-30.0,Lazer
01/05/2025,SHOPEE *MASTERATACAD          SAO PAULO,12.29,Compras
01/05/2025,SHOPEE *MASTERATACAD          SAO PAULO,27.68,Compras
01/05/2025,KELLER BURGER                 POMERODE,-59.0,Saídas Restaurante e Bares
01/05/2025,KELLER BURGER                 POMERODE,-49.0,Saidas Restaurante e Bares
02/05/2025,AWS BrazilV                   Sao Paulo,-29.52,Assinaturas
03/05/2025,TECNOPAN                      JARAGUA DO SU,-63.12,Compras
03/05/2025,SUPER MERCADO PORTAL          JARAGUA DO SU,-80.39,Mercado
03/05/2025,SUPER MERCADO PORTAL          JARAGUA DO SU,-17.35,Mercado
04/05/2025,MERCADOLIVRE*WSSPORT          OSASCO,-44.18,Compras
04/05/2025,DUTY PAID VIRACOPOS           CAMPINAS,-33.6,Compras
05/05/2025,NETFLIX ENTRETENIMEN          BARUERI,-44.9,Assinaturas
05/05/2025,ZP          *TNX KUM          Brasilia,-385.0,Compras
05/05/2025,DONA DE CASA                  BRASILIA,-302.79,Mercado
07/05/2025,DROGASIL 2019                 BRASILIA,-24.73,Farmacia
07/05/2025,PAC NACAO BEACH TENN          BRASILIA,-230.0,Lazer
07/05/2025,PETIT ANIMALE                 BRASILIA,-352.4,Zuma
08/05/2025,CASCOL COMBUSTIVEIS           BRASILIA,-279.1,Transporte
08/05/2025,ALLPARK EMPREENDIMEN          Brasilia,-10.0,Lazer
10/05/2025,BARUC RESTAURANTE LT          BRASILIA,-208.01,Saídas Restaurante e Bares
10/05/2025,RICHESSE                      BRASILIA,-66.88,Compras
10/05/2025,RICCO BURGER COMERCI          BRASILIA,-206.81,Saidas Restaurante e Bares
10/05/2025,MP*LOTERIASONLINE0OP          OSASCO,-70.0,Loterica
10/05/2025,PETIT ANIMALE                 BRASILIA,-122.9,Zuma
12/05/2025,DM          *Spotify          Stockholm,-34.9,Assinaturas
12/05/2025,FITVOLEI DE PRAIA LT          Brasilia,-265.0,Lazer
13/05/2025,MP*UNDERLABZ                  PINDAMONHANGA,-159.92,Suplementos
14/05/2025,MP*LOTERIASONLINETPG          OSASCO,-70.0,Loterica
15/05/2025,URENTCARV                     FLORIANOPOLIS,-14.99,Transporte
18/05/2025,Amazon Prime CanaisV          SAO PAULO,-27.9,Assinaturas
18/05/2025,KIWIFY *SECABARRIGV   01/12   Barueri,-30.1,Educação
18/05/2025,KIWIFY *SECABARRIGV   01/12   Barueri,-30.1,Educação
18/05/2025,KIWIFY *SECABARRIGV           Barueri,361.15,Educação
18/05/2025,KIWIFY *SECABARRIGV           Barueri,361.15,Educação
22/05/2025,PETZ DIGITALV                 EMBU,-125.19,Zuma
22/05/2025,AMAZONMKTPLC*GULARTE          PONTA GROSSA,-69.9,Compras
22/05/2025,WWW-CASASBAHIA-COM-B  01/02   CAMPO BOM,-149.0,Compras
22/05/2025,AMAZON MARKETPLACEV           SAO PAULO,-25.9,Compras
